electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
singapore_geylang,323,singapore_line_type_3,174,149,1,0,0,0.15664481457442572
singapore_geylang,324,singapore_line_type_3,147,256,1,0,0,0.09668719157914177
singapore_geylang,325,singapore_line_type_3,149,177,1,0,0,0.21237357433626397
singapore_geylang,326,singapore_line_type_3,81,302,1,0,0,0.04759005500763577
singapore_geylang,327,singapore_line_type_3,256,262,1,0,0,0.11728131978731009
singapore_geylang,328,singapore_line_type_3,139,140,1,0,0,0.29829585541333753
singapore_geylang,329,singapore_line_type_3,284,181,1,0,0,0.10241200220983576
singapore_geylang,330,singapore_line_type_1,3,197,1,0,0,0.37193797002259277
singapore_geylang,331,singapore_line_type_1,197,185,1,0,0,0.23821495109102406
singapore_geylang,332,singapore_line_type_1,185,204,1,0,0,0.18951763545999678
singapore_geylang,333,singapore_line_type_1,204,80,1,0,0,0.08614282609539306
singapore_geylang,334,singapore_line_type_3,80,203,1,0,0,0.025968551654857237
singapore_geylang,335,singapore_line_type_3,4,209,1,0,0,0.4635564996374315
singapore_geylang,336,singapore_line_type_1,209,254,1,0,0,0.29750581465804404
singapore_geylang,337,singapore_line_type_1,254,226,1,0,0,0.3273001097132019
singapore_geylang,338,singapore_line_type_3,226,251,1,0,0,0.26729128183390205
singapore_geylang,339,singapore_line_type_3,251,207,1,0,0,0.04432485520996267
singapore_geylang,340,singapore_line_type_3,207,222,1,0,0,0.15818768810824124
singapore_geylang,341,singapore_line_type_3,222,220,1,0,0,0.12919638129062266
singapore_geylang,342,singapore_line_type_3,207,250,1,0,0,0.0671637172255201
singapore_geylang,343,singapore_line_type_3,250,225,1,0,0,0.09571698532826349
singapore_geylang,344,singapore_line_type_3,220,261,1,0,0,0.18844541577116328
singapore_geylang,345,singapore_line_type_3,225,224,1,0,0,0.11092154135979411
singapore_geylang,346,singapore_line_type_3,261,248,1,0,0,0.1498413434219945
singapore_geylang,347,singapore_line_type_3,248,246,1,0,0,0.12500067272052748
singapore_geylang,348,singapore_line_type_3,222,221,1,0,0,0.1367624145723403
singapore_geylang,349,singapore_line_type_3,224,249,1,0,0,0.1203851425698897
singapore_geylang,350,singapore_line_type_3,246,245,1,0,0,0.1155803151769388
singapore_geylang,351,singapore_line_type_3,221,223,1,0,0,0.0880142121941929
singapore_geylang,352,singapore_line_type_3,209,265,1,0,0,0.2601574187687768
singapore_geylang,353,singapore_line_type_3,4,233,1,0,0,0.45235897259458885
